127.0.0.1 - - [22/Dec/2018:16:38:39 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:38:42 +0800] "GET /JavaEETest1/myServlet HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/ HTTP/1.1" 200 8135
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/JQ/jquery-1.12.4.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo1.png HTTP/1.1" 200 32479
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo2.png HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo4.png HTTP/1.1" 200 35355
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/2.jpg HTTP/1.1" 200 21912
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo3.png HTTP/1.1" 200 282620
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/good.png HTTP/1.1" 200 97252
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/4.jpg HTTP/1.1" 200 24651
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/3.jpg HTTP/1.1" 200 25159
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo5.png HTTP/1.1" 200 207982
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo.png HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/1.jpg HTTP/1.1" 200 18622
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/good1.png HTTP/1.1" 200 35733
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/good2.png HTTP/1.1" 200 56784
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/good3.png HTTP/1.1" 200 59923
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/good4.png HTTP/1.1" 200 58737
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:39:13 +0800] "GET /JavaEETest1/page3/logo8.png HTTP/1.1" 200 74188
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:50:15 +0800] "GET /JavaEETest1/ HTTP/1.1" 500 3063
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/ HTTP/1.1" 200 8141
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/JQ/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/good1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/good3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/good2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/good4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/good.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/logo4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:09 +0800] "GET /JavaEETest1/page3/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:16:51:15 +0800] "POST /JavaEETest1/myServlet HTTP/1.1" 200 456
