127.0.0.1 - - [07/Feb/2020:14:29:08 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/index.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.easyui.min.js HTTP/1.1" 200 389242
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:55 +0800] "GET /06.mybatis+spring+springMVC/images/logo.png HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:29:56 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:29 +0800] "GET /06.mybatis+spring+springMVC/index.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:29 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:30:29 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
